iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,f1_trg,f1_val,f1_tst,elapsed
0,0.126093189511,0.126847115913,0.126004697474,0.472952086553,0.439814814815,0.479166666667,0.461295418641,0.431924882629,0.45652173913,0.008924939
10,0.126621933911,0.127348981121,0.126110676723,0.530139103555,0.532407407407,0.53125,0.692929292929,0.694864048338,0.69387755102,0.101080597
20,0.123012849529,0.124974533025,0.122262097943,0.516228748068,0.527777777778,0.517361111111,0.668783068783,0.68125,0.669833729216,0.191327696
30,0.130924754484,0.130008358725,0.129710328902,0.516228748068,0.532407407407,0.527777777778,0.675647668394,0.691131498471,0.689497716895,0.277992232
40,0.122729142347,0.12435149204,0.122203145208,0.54714064915,0.509259259259,0.565972222222,0.444022770398,0.383720930233,0.485596707819,0.365298379
50,0.123354751551,0.124630319846,0.122860298702,0.54714064915,0.5,0.527777777778,0.464351005484,0.4,0.456,0.451864831
60,0.12870620118,0.130900485001,0.126245302832,0.533230293663,0.532407407407,0.534722222222,0.694331983806,0.694864048338,0.694063926941,0.542138187
70,0.127081565826,0.129744148268,0.125934098333,0.528593508501,0.532407407407,0.53125,0.69160768453,0.694864048338,0.69387755102,0.635230751
80,0.122992379479,0.125046527936,0.121512678776,0.514683153014,0.5,0.527777777778,0.623501199041,0.617021276596,0.630434782609,0.719241158
90,0.126623572398,0.129091794511,0.124236092374,0.530139103555,0.537037037037,0.520833333333,0.685300207039,0.691358024691,0.68202764977,0.802137524
100,0.126837337214,0.129950795223,0.125234143823,0.530139103555,0.532407407407,0.53125,0.692929292929,0.694864048338,0.69387755102,0.886971162
110,0.125490676484,0.129418253958,0.123895187642,0.530139103555,0.532407407407,0.53125,0.692929292929,0.694864048338,0.69387755102,0.974039357
120,0.123906197835,0.128466453449,0.120767556495,0.544049459042,0.537037037037,0.548611111111,0.695562435501,0.693251533742,0.700460829493,1.062948538
130,0.118958957659,0.123330173162,0.11652871296,0.591962905719,0.578703703704,0.607638888889,0.68115942029,0.682926829268,0.683473389356,1.147996499
140,0.118409847892,0.122995504543,0.116465667132,0.599690880989,0.560185185185,0.579861111111,0.646657571623,0.627450980392,0.615873015873,1.229634026
150,0.119093080394,0.122921479356,0.117545151037,0.58114374034,0.523148148148,0.586805555556,0.678529062871,0.653198653199,0.67397260274,1.318143527
160,0.119598298175,0.123607232768,0.117421265136,0.578052550232,0.569444444444,0.590277777778,0.686567164179,0.691029900332,0.68449197861,1.403753532
170,0.120235239664,0.122990394057,0.117994372025,0.553323029366,0.541666666667,0.59375,0.649696969697,0.650176678445,0.674094707521,1.497264076
180,0.120938776766,0.125074470385,0.119299026813,0.568778979907,0.574074074074,0.579861111111,0.641848523748,0.664233576642,0.640949554896,1.580850598
190,0.121515292173,0.125913036844,0.119270326309,0.570324574961,0.537037037037,0.579861111111,0.606232294618,0.596774193548,0.610932475884,1.667683266
200,0.121138337654,0.124656137647,0.118927839963,0.556414219474,0.564814814815,0.597222222222,0.616822429907,0.638461538462,0.646341463415,1.753059531
210,0.120375304273,0.124315152688,0.118003126275,0.565687789799,0.560185185185,0.600694444444,0.611341632089,0.624505928854,0.639498432602,1.837485165
220,0.120911473196,0.124618401488,0.117271374068,0.578052550232,0.550925925926,0.597222222222,0.673835125448,0.664359861592,0.68306010929,1.923050217
230,0.120570189176,0.124830076347,0.11770990189,0.590417310665,0.574074074074,0.600694444444,0.655396618986,0.648854961832,0.652567975831,2.006283595
240,0.118385538631,0.123484453995,0.115860924049,0.590417310665,0.541666666667,0.597222222222,0.63347164592,0.599190283401,0.625806451613,2.093526785
250,0.121090628694,0.125650338982,0.119076508956,0.574961360124,0.550925925926,0.579861111111,0.662576687117,0.657243816254,0.655270655271,2.179419507
260,0.120028748872,0.124676240482,0.117494189666,0.579598145286,0.560185185185,0.597222222222,0.630434782609,0.624505928854,0.635220125786,2.265386125
270,0.118852675061,0.123542042885,0.11688208051,0.574961360124,0.550925925926,0.597222222222,0.623803009576,0.613545816733,0.635220125786,2.35219966
280,0.120484329101,0.123807375166,0.118088893216,0.590417310665,0.574074074074,0.600694444444,0.668335419274,0.669064748201,0.668587896254,2.437305702
290,0.119859679823,0.124038148501,0.116861037373,0.593508500773,0.578703703704,0.600694444444,0.652575957728,0.651340996169,0.646153846154,2.520273375
300,0.118426741212,0.1230039422,0.116152489047,0.599690880989,0.550925925926,0.600694444444,0.64275862069,0.610441767068,0.632587859425,2.606557698
310,0.120966124531,0.124766202707,0.117659709561,0.596599690881,0.574074074074,0.586805555556,0.653386454183,0.646153846154,0.633846153846,2.690540362
320,0.119956595267,0.12418950432,0.117288490404,0.598145285935,0.574074074074,0.604166666667,0.661458333333,0.651515151515,0.654545454545,2.779051486
330,0.119824097869,0.124275506679,0.117368780749,0.593508500773,0.592592592593,0.604166666667,0.668348045397,0.674074074074,0.666666666667,2.863721689
340,0.120309823466,0.124588927676,0.117729503273,0.591962905719,0.578703703704,0.604166666667,0.655352480418,0.653992395437,0.656626506024,2.949076561
350,0.119414643416,0.124284072523,0.117247365156,0.579598145286,0.550925925926,0.579861111111,0.66,0.652329749104,0.649275362319,3.032349101
360,0.131573050755,0.136255839272,0.128809520892,0.530139103555,0.532407407407,0.534722222222,0.692307692308,0.694864048338,0.695454545455,3.118039007
370,0.118451524571,0.123325893968,0.116325294731,0.591962905719,0.541666666667,0.611111111111,0.623931623932,0.595918367347,0.631578947368,3.20015577
380,0.119690024118,0.124493942468,0.117832460017,0.57341576507,0.550925925926,0.597222222222,0.621917808219,0.610441767068,0.632911392405,3.285193186
390,0.121576316748,0.125879334802,0.118615943024,0.590417310665,0.574074074074,0.611111111111,0.666666666667,0.664233576642,0.672514619883,3.375247579
400,0.122437164666,0.12759626999,0.119974325807,0.585780525502,0.537037037037,0.590277777778,0.68691588785,0.662162162162,0.682795698925,3.460014272
410,0.120730008162,0.125192546507,0.119699876112,0.567233384853,0.546296296296,0.597222222222,0.630606860158,0.623076923077,0.646341463415,3.540966159
420,0.122261999799,0.126051437289,0.119958578656,0.559505409583,0.564814814815,0.579861111111,0.683684794673,0.696774193548,0.692111959288,3.628704069
430,0.121447847353,0.125071118968,0.119506966993,0.585780525502,0.546296296296,0.597222222222,0.68691588785,0.675496688742,0.688172043011,3.71865383
440,0.121444982968,0.12553159432,0.119127190998,0.590417310665,0.560185185185,0.586805555556,0.684147794994,0.680134680135,0.675749318801,3.802494169
450,0.122505503154,0.125680429418,0.120610591219,0.57341576507,0.546296296296,0.590277777778,0.65671641791,0.647482014388,0.664772727273,3.88648696
460,0.123236847527,0.125926069201,0.122205505078,0.539412673879,0.518518518519,0.569444444444,0.612987012987,0.614814814815,0.630952380952,3.969887049
470,0.122424655794,0.125991063406,0.121575969075,0.539412673879,0.49537037037,0.565972222222,0.555223880597,0.536170212766,0.555160142349,4.050002101
480,0.121209499094,0.126033725097,0.120627923155,0.568778979907,0.509259259259,0.576388888889,0.590308370044,0.543103448276,0.573426573427,4.135703331
490,0.121954460722,0.125851316379,0.1212763651,0.542503863988,0.50462962963,0.565972222222,0.56976744186,0.55230125523,0.567474048443,4.220773614
500,0.123523954046,0.126801073819,0.123253931711,0.539412673879,0.50462962963,0.552083333333,0.56432748538,0.563265306122,0.559726962457,4.309915449
510,0.121432689698,0.12744923263,0.119891846597,0.584234930448,0.550925925926,0.586805555556,0.63697705803,0.616600790514,0.622222222222,4.396446822
520,0.121121568639,0.125251135192,0.119771353791,0.579598145286,0.560185185185,0.572916666667,0.611428571429,0.615384615385,0.577319587629,4.481048405
530,0.122781774196,0.126003623468,0.122314554355,0.55486862442,0.518518518519,0.545138888889,0.556923076923,0.555555555556,0.520146520147,4.56679455
