iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,f1_trg,f1_val,f1_tst,elapsed
0,0.122293323043,0.124584954802,0.117760638014,0.542503863988,0.532407407407,0.600694444444,0.665158371041,0.655290102389,0.704370179949,0.015687971
10,0.0925216427177,0.10692983099,0.0915190316655,0.726429675425,0.680555555556,0.711805555556,0.725581395349,0.68202764977,0.712802768166,0.047814723
20,0.0841676073862,0.104276080896,0.0856463347882,0.761978361669,0.675925925926,0.763888888889,0.765243902439,0.663461538462,0.763888888889,0.067133868
30,0.0790432559234,0.104894715529,0.083374876349,0.771251931994,0.666666666667,0.75,0.771604938272,0.660377358491,0.758389261745,0.096973551
40,0.0763654684374,0.105731934908,0.0838069793733,0.791344667697,0.666666666667,0.739583333333,0.793893129771,0.666666666667,0.752475247525,0.111360703
50,0.074140482149,0.105555898102,0.0840997114023,0.791344667697,0.685185185185,0.736111111111,0.794520547945,0.685185185185,0.748344370861,0.12792276
60,0.072227226781,0.107508788869,0.0859183353405,0.797527047913,0.657407407407,0.732638888889,0.801815431165,0.669642857143,0.747540983607,0.143022013
70,0.0710154048577,0.107912137675,0.0861627353989,0.795981452859,0.666666666667,0.732638888889,0.800604229607,0.672727272727,0.744186046512,0.157625708
80,0.069382346309,0.109575158489,0.0874880848467,0.805255023184,0.652777777778,0.743055555556,0.808510638298,0.654377880184,0.754966887417,0.169645637
90,0.0683303175454,0.111050044391,0.0881982688837,0.806800618238,0.643518518519,0.732638888889,0.809160305344,0.645161290323,0.744186046512,0.180845055
100,0.0674007873396,0.11211682615,0.0893252219213,0.802163833076,0.638888888889,0.711805555556,0.807807807808,0.645454545455,0.726072607261,0.193787587
110,0.0664200149798,0.113249638025,0.0896940155255,0.808346213292,0.643518518519,0.71875,0.811550151976,0.645161290323,0.730897009967,0.204151306
120,0.065224850707,0.112315452716,0.0901876923353,0.812982998454,0.648148148148,0.722222222222,0.816944024206,0.654545454545,0.735099337748,0.215324894
130,0.0644320678886,0.112478138951,0.0904490456475,0.8114374034,0.638888888889,0.722222222222,0.816265060241,0.645454545455,0.735099337748,0.228445619
140,0.0635296194152,0.111870960812,0.0898471414504,0.8114374034,0.643518518519,0.732638888889,0.815151515152,0.648401826484,0.742474916388,0.239153606
150,0.0630031068028,0.111597525271,0.0897295529043,0.819165378671,0.657407407407,0.739583333333,0.822995461422,0.660550458716,0.750830564784,0.249372644
160,0.0625232413146,0.110916325207,0.0899706276129,0.816074188563,0.662037037037,0.732638888889,0.820512820513,0.666666666667,0.742474916388,0.259300597
170,0.061726768834,0.110491937276,0.0893012145936,0.822256568779,0.662037037037,0.743055555556,0.827067669173,0.663594470046,0.754966887417,0.269972987
180,0.0605274373417,0.109969914984,0.0901012001294,0.825347758887,0.675925925926,0.743055555556,0.829046898638,0.672897196262,0.753333333333,0.279110752
190,0.0596919306088,0.110694457884,0.0911187212976,0.822256568779,0.675925925926,0.746527777778,0.82602118003,0.681818181818,0.759075907591,0.288049239
200,0.0590924273403,0.110808515953,0.0915240461299,0.817619783617,0.652777777778,0.743055555556,0.822289156627,0.654377880184,0.754966887417,0.297058767
210,0.05854007594,0.111158362088,0.092265080725,0.819165378671,0.662037037037,0.736111111111,0.824060150376,0.666666666667,0.75,0.305583185
220,0.0579420768761,0.110798992734,0.0920850133808,0.826893353941,0.666666666667,0.746527777778,0.832835820896,0.672727272727,0.759075907591,0.314452057
230,0.0574110857966,0.111805486214,0.092337372283,0.831530139104,0.662037037037,0.732638888889,0.838995568685,0.675555555556,0.749185667752,0.3279694
240,0.0567755108362,0.110436426378,0.0916846371438,0.833075734158,0.671296296296,0.739583333333,0.838323353293,0.675799086758,0.750830564784,0.337084068
250,0.0563940245534,0.110482663937,0.0918261293762,0.836166924266,0.675925925926,0.739583333333,0.840840840841,0.681818181818,0.750830564784,0.346147323
260,0.0560261989748,0.110464392558,0.0920061361502,0.839258114374,0.671296296296,0.743055555556,0.843373493976,0.675799086758,0.754966887417,0.355915191
270,0.0556936174865,0.110046875247,0.0921430952834,0.83771251932,0.675925925926,0.739583333333,0.843049327354,0.681818181818,0.752475247525,0.364725601
280,0.0552085562671,0.109556056987,0.0927268569655,0.833075734158,0.680555555556,0.732638888889,0.838323353293,0.68778280543,0.747540983607,0.373816406
290,0.054638510205,0.110340390077,0.0933889932461,0.846986089645,0.685185185185,0.736111111111,0.850226928896,0.696428571429,0.746666666667,0.382557891
300,0.054264739237,0.110804796345,0.0937923264189,0.843894899536,0.680555555556,0.739583333333,0.848575712144,0.693333333333,0.752475247525,0.391328641
310,0.0539603211461,0.110479630393,0.0941503926361,0.839258114374,0.680555555556,0.739583333333,0.847058823529,0.693333333333,0.755700325733,0.400429787
320,0.0536570763361,0.11003181017,0.0943727774018,0.836166924266,0.671296296296,0.736111111111,0.842261904762,0.684444444444,0.753246753247,0.409590629
330,0.0529040308082,0.109094439955,0.0949287652273,0.839258114374,0.671296296296,0.736111111111,0.845697329377,0.684444444444,0.753246753247,0.418788785
340,0.052631479649,0.110034235014,0.0945289765141,0.846986089645,0.671296296296,0.736111111111,0.851127819549,0.678733031674,0.753246753247,0.428580773
350,0.052341364572,0.111000818262,0.095201316547,0.846986089645,0.680555555556,0.732638888889,0.851127819549,0.693333333333,0.749185667752,0.438151071
360,0.0520620931656,0.111485557362,0.0955276972976,0.846986089645,0.675925925926,0.729166666667,0.851574212894,0.690265486726,0.746753246753,0.447957922
370,0.0517236068769,0.11201126461,0.0963709670956,0.84544049459,0.680555555556,0.729166666667,0.850746268657,0.696035242291,0.748387096774,0.457263516
380,0.051456016392,0.111312799151,0.0972343171907,0.842349304482,0.675925925926,0.729166666667,0.848664688427,0.69298245614,0.75,0.466108482
390,0.0511421213046,0.111281994993,0.0976046095906,0.843894899536,0.680555555556,0.729166666667,0.849925705795,0.696035242291,0.748387096774,0.474628119
400,0.0508631355114,0.112211897828,0.0984504628827,0.842349304482,0.675925925926,0.722222222222,0.849557522124,0.69298245614,0.74358974359,0.483309354
410,0.0503818700572,0.112565519316,0.0984496025826,0.854714064915,0.685185185185,0.722222222222,0.859281437126,0.699115044248,0.74025974026,0.492523484
420,0.0499032343639,0.112599308003,0.0990368792718,0.848531684699,0.666666666667,0.722222222222,0.854166666667,0.684210526316,0.74025974026,0.501139543
430,0.049630162599,0.112171190032,0.0990115183619,0.853168469861,0.671296296296,0.729166666667,0.857571214393,0.687224669604,0.743421052632,0.510062673
440,0.0494256528389,0.112291034654,0.0993419238922,0.856259659969,0.675925925926,0.736111111111,0.860569715142,0.690265486726,0.75,0.518810885
450,0.0491256969482,0.11285881467,0.0994853055792,0.856259659969,0.685185185185,0.736111111111,0.860986547085,0.696428571429,0.75,0.527430876
