iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,f1_trg,f1_val,f1_tst,elapsed
0,0.170481664111,0.172389100095,0.168949872544,0.469860896445,0.467592592593,0.46875,0,0,0,0.000518752
10,0.169974875402,0.171484627809,0.168490615603,0.469860896445,0.467592592593,0.46875,0,0,0,0.004883671
20,0.168421647433,0.169655300355,0.167076319954,0.469860896445,0.467592592593,0.46875,0,0,0,0.008936878
30,0.171166100212,0.171631384914,0.169943356965,0.469860896445,0.467592592593,0.46875,0,0,0,0.012898823
40,0.171594832936,0.171447478649,0.170615684658,0.469860896445,0.467592592593,0.46875,0,0,0,0.016759145
50,0.170166398658,0.170913686099,0.169221618901,0.469860896445,0.467592592593,0.46875,0,0,0,0.020687352
60,0.169281323015,0.170767193489,0.168911168983,0.469860896445,0.467592592593,0.46875,0,0,0,0.024831305
70,0.168625900777,0.170657866574,0.169025598099,0.469860896445,0.467592592593,0.46875,0,0,0,0.028727424
80,0.16829483243,0.17038206286,0.168381879169,0.469860896445,0.467592592593,0.46875,0,0,0,0.032531495
90,0.167919666058,0.170092472733,0.16825113335,0.469860896445,0.467592592593,0.46875,0,0,0,0.03830431
100,0.167863585623,0.170386288322,0.168101386018,0.469860896445,0.467592592593,0.46875,0,0,0,0.0434181
110,0.161567920612,0.163581746142,0.161663552175,0.469860896445,0.467592592593,0.46875,0,0,0,0.04784199
120,0.15102203248,0.152940286284,0.150960902706,0.469860896445,0.467592592593,0.46875,0,0,0,0.052645722
130,0.150227189342,0.152927182683,0.150054959592,0.471406491499,0.467592592593,0.46875,0.00581395348837,0,0,0.057330118
140,0.149715794884,0.152734291884,0.149790726614,0.471406491499,0.467592592593,0.472222222222,0.00581395348837,0,0.012987012987,0.062142521
150,0.149736799738,0.152943190195,0.149642611164,0.471406491499,0.467592592593,0.472222222222,0.00581395348837,0,0.012987012987,0.068446543
160,0.148005354768,0.151726588275,0.148588708771,0.471406491499,0.467592592593,0.475694444444,0.00581395348837,0,0.0258064516129,0.07309129
170,0.147280048801,0.151396977466,0.148032493121,0.471406491499,0.467592592593,0.475694444444,0.00581395348837,0,0.0258064516129,0.077744166
180,0.144540361229,0.14882395556,0.145364770225,0.476043276662,0.467592592593,0.479166666667,0.0230547550432,0,0.0384615384615,0.082368881
190,0.144414062728,0.148935385789,0.145264874195,0.476043276662,0.467592592593,0.475694444444,0.0230547550432,0,0.0258064516129,0.087172278
200,0.143645409244,0.148313787125,0.144565459332,0.476043276662,0.467592592593,0.475694444444,0.0230547550432,0,0.0258064516129,0.09139914
210,0.143166832202,0.148148952364,0.1442566497,0.480680061824,0.476851851852,0.486111111111,0.04,0.034188034188,0.0632911392405,0.09540493
220,0.142360995788,0.147317202194,0.143127154378,0.482225656878,0.476851851852,0.486111111111,0.045584045584,0.034188034188,0.0632911392405,0.09902846
230,0.134801779559,0.13990656752,0.136218566332,0.493044822257,0.476851851852,0.489583333333,0.0837988826816,0.0504201680672,0.0869565217391,0.10265477
240,0.134444665964,0.139800860975,0.136014256956,0.499227202473,0.476851851852,0.489583333333,0.104972375691,0.0504201680672,0.0869565217391,0.10630641
