iterations,fitness,time,fevals
0,21.0,0.000567358,565
10,22.0,0.001014372,1011
20,22.0,0.001492683,1460
30,22.0,0.001917712,1917
40,27.0,0.002329125,2356
50,23.0,0.00276169,2814
60,23.0,0.00318445,3266
70,23.0,0.00360838,3716
80,25.0,0.00401833,4189
90,26.0,0.004429348,4650
100,28.0,0.004893237,5113
110,29.0,0.005272955,5552
120,30.0,0.005648498,5997
130,30.0,0.006025877,6454
140,30.0,0.006390305,6919
150,29.0,0.006753869,7371
160,30.0,0.007118118,7820
170,30.0,0.007494094,8270
180,31.0,0.007883572,8728
190,31.0,0.00826436400001,9211
200,30.0,0.00864788200001,9671
210,32.0,0.009009709,10133
220,31.0,0.009388553,10598
230,31.0,0.009781796,11057
240,33.0,0.010173737,11520
250,34.0,0.010541246,11966
260,34.0,0.010946207,12422
270,34.0,0.011294639,12876
280,36.0,0.011640518,13318
290,40.0,0.012002563,13766
300,38.0,0.01242083,14202
310,40.0,0.012917944,14655
320,42.0,0.013270135,15105
330,44.0,0.013634523,15568
340,44.0,0.013996001,16024
350,44.0,0.014350972,16473
360,46.0,0.014699881,16924
370,48.0,0.015062442,17390
380,48.0,0.015439462,17860
390,48.0,0.015810147,18324
400,48.0,0.016170525,18785
410,47.0,0.016510087,19225
420,48.0,0.01686365,19697
430,53.0,0.017212064,20155
440,48.0,0.017552314,20621
450,52.0,0.01790069,21064
460,53.0,0.018257891,21520
470,54.0,0.0186152,21984
480,52.0,0.018970725,22444
490,53.0,0.019389346,22898
500,54.0,0.019771092,23344
510,53.0,0.020257081,23810
520,56.0,0.020788699,24276
530,58.0,0.021173541,24734
540,58.0,0.021541756,25208
550,59.0,0.021895429,25667
560,58.0,0.022238945,26118
570,58.0,0.022584501,26599
580,61.0,0.022924748,27065
590,60.0,0.023253532,27527
600,59.0,0.023582759,27984
610,60.0,0.023907086,28435
620,59.0,0.024240243,28878
630,59.0,0.024592141,29348
640,62.0,0.024952203,29820
650,62.0,0.025349234,30278
660,60.0,0.02575726,30743
670,63.0,0.026164303,31199
680,58.0,0.026549757,31646
690,59.0,0.026953682,32089
700,59.0,0.027336834,32546
710,60.0,0.027734391,33001
720,60.0,0.028138674,33460
730,59.0,0.028507815,33905
740,59.0,0.028909562,34355
750,60.0,0.029243486,34819
760,60.0,0.029595713,35280
770,60.0,0.029950554,35723
780,58.0,0.030297838,36182
790,59.0,0.030653181,36641
800,59.0,0.031000026,37095
810,59.0,0.031329641,37547
820,61.0,0.03166389,37992
830,61.0,0.031994694,38443
840,60.0,0.03235192,38889
850,60.0,0.032697536,39323
860,60.0,0.033041687,39789
870,58.0,0.033391433,40237
880,62.0,0.033738635,40695
890,61.0,0.03407957,41148
900,65.0,0.03441912,41607
910,65.0,0.034746161,42054
920,68.0,0.03506462,42515
930,68.0,0.035378483,42985
940,70.0,0.035695792,43443
950,70.0,0.036015538,43902
960,71.0,0.036339941,44351
970,71.0,0.036715715,44807
980,72.0,0.03704884,45266
990,73.0,0.037372588,45712
1000,73.0,0.037707569,46171
1010,72.0,0.038161581,46629
1020,73.0,0.038647853,47083
1030,72.0,0.038976598,47537
1040,72.0,0.039296641,47992
1050,71.0,0.03962443,48442
1060,72.0,0.04052109,48899
1070,70.0,0.040949748,49370
1080,73.0,0.041332615,49830
1090,73.0,0.04170806,50279
1100,74.0,0.042069244,50725
1110,74.0,0.042425256,51187
1120,74.0,0.042795733,51647
1130,75.0,0.043158353,52107
1140,69.0,0.043528094,52552
1150,70.0,0.043886263,53009
1160,69.0,0.044238619,53469
1170,69.0,0.044617768,53935
1180,70.0,0.044945569,54392
1190,70.0,0.045280209,54854
1200,70.0,0.045603858,55307
1210,70.0,0.045934005,55782
1220,71.0,0.04627083,56236
1230,71.0,0.04660612,56685
1240,71.0,0.046940318,57151
1250,71.0,0.047277133,57607
1260,71.0,0.047613761,58065
1270,75.0,0.047952418,58514
1280,75.0,0.048280286,58960
1290,75.0,0.04860057,59416
1300,73.0,0.048925269,59888
1310,77.0,0.049247261,60330
1320,75.0,0.049576862,60791
1330,76.0,0.049891462,61247
1340,76.0,0.050206976,61702
1350,77.0,0.050527949,62157
1360,75.0,0.050847836,62608
1370,75.0,0.051191658,63056
1380,71.0,0.051518204,63529
1390,71.0,0.051839219,63996
1400,74.0,0.052142447,64448
1410,75.0,0.052446298,64912
1420,75.0,0.052756165,65363
1430,73.0,0.053082547,65819
1440,74.0,0.053405769,66275
1450,75.0,0.053725115,66726
1460,73.0,0.054044816,67181
1470,75.0,0.05436048,67627
1480,72.0,0.054677112,68084
1490,69.0,0.055004501,68540
1500,69.0,0.055329374,68992
1510,68.0,0.055655621,69433
1520,68.0,0.055973421,69890
1530,68.0,0.058788989,70339
1540,67.0,0.059132218,70793
1550,69.0,0.059474762,71254
1560,70.0,0.059879597,71713
1570,71.0,0.060231512,72168
1580,71.0,0.060578107,72627
1590,71.0,0.060985031,73098
1600,71.0,0.061336651,73557
1610,72.0,0.061748648,74019
1620,73.0,0.062150735,74481
1630,72.0,0.062483616,74934
1640,72.0,0.06280532,75380
1650,71.0,0.063133679,75827
1660,70.0,0.063442434,76283
1670,70.0,0.063761972,76743
1680,69.0,0.064085351,77197
1690,70.0,0.064403595,77655
1700,70.0,0.064747576,78113
1710,69.0,0.06508483,78564
1720,69.0,0.065447184,79037
1730,71.0,0.065795029,79486
1740,70.0,0.066144845,79952
1750,69.0,0.066551818,80415
1760,69.0,0.066887333,80855
1770,65.0,0.067225722,81305
1780,65.0,0.067589777,81758
1790,66.0,0.068040306,82229
1800,66.0,0.068531715,82685
1810,64.0,0.068900524,83152
1820,65.0,0.069244473,83613
1830,64.0,0.069587364,84057
1840,65.0,0.069921615,84493
1850,69.0,0.070301083,84949
1860,62.0,0.070663299,85402
1870,63.0,0.071016963,85853
1880,63.0,0.071367552,86308
1890,64.0,0.071719503,86754
1900,64.0,0.072075834,87215
1910,64.0,0.072442161,87650
1920,61.0,0.072788031,88107
1930,62.0,0.073132434,88568
1940,63.0,0.073476482,89029
1950,62.0,0.073824465,89493
1960,61.0,0.074223991,89946
1970,64.0,0.074602174,90400
1980,62.0,0.07499164,90868
1990,62.0,0.075409594,91335
2000,63.0,0.075753248,91791
2010,62.0,0.076087954,92237
2020,63.0,0.076467821,92699
2030,63.0,0.076801267,93140
2040,64.0,0.0771344,93601
2050,64.0,0.07748247,94041
2060,63.0,0.077894426,94498
2070,66.0,0.078275211,94969
2080,65.0,0.078667822,95433
2090,66.0,0.079043186,95894
2100,64.0,0.079413384,96335
2110,65.0,0.079782336,96805
2120,65.0,0.080142988,97245
2130,65.0,0.080521265,97704
2140,66.0,0.08089204,98157
2150,66.0,0.081260104,98621
2160,65.0,0.081634651,99078
2170,65.0,0.082004342,99529
2180,66.0,0.082379062,99981
2190,64.0,0.082751707,100441
2200,66.0,0.083184937,100892
2210,64.0,0.083529214,101365
2220,65.0,0.083864733,101816
2230,66.0,0.084197781,102272
2240,65.0,0.084536891,102738
2250,66.0,0.084932346,103190
2260,66.0,0.085285529,103649
2270,66.0,0.085635713,104110
2280,66.0,0.08597817,104559
2290,65.0,0.086316051,104998
2300,67.0,0.086655898,105471
2310,66.0,0.086987552,105925
2320,67.0,0.087323719,106391
2330,66.0,0.087654398,106844
2340,67.0,0.087980057,107293
2350,68.0,0.088312091,107753
2360,66.0,0.088642486,108200
2370,65.0,0.088969829,108642
2380,65.0,0.089314531,109103
2390,66.0,0.089655336,109560
2400,65.0,0.089990891,110017
2410,65.0,0.090329702,110469
2420,66.0,0.090651124,110910
2430,64.0,0.09099486,111369
2440,65.0,0.091331431,111836
2450,66.0,0.091680075,112287
2460,65.0,0.092024362,112748
2470,65.0,0.092375787,113221
2480,64.0,0.092788815,113671
2490,64.0,0.093159212,114130
2500,64.0,0.093551645,114589
2510,64.0,0.094008344,115040
2520,65.0,0.09442912,115484
2530,65.0,0.094795535,115917
2540,65.0,0.095149808,116373
2550,67.0,0.095510181,116834
2560,66.0,0.095859238,117288
2570,67.0,0.096817387,117749
2580,67.0,0.097192832,118186
2590,67.0,0.097543745,118635
2600,67.0,0.097906267,119097
2610,67.0,0.098263106,119558
2620,68.0,0.098686368,120023
2630,69.0,0.099040748,120486
2640,68.0,0.09950733,120945
2650,68.0,0.099897028,121404
2660,68.0,0.100378539,121865
2670,68.0,0.100756709,122315
2680,68.0,0.101114295,122778
2690,69.0,0.101502781,123239
2700,68.0,0.101905364,123710
2710,68.0,0.102265704,124165
2720,69.0,0.102651334,124619
2730,69.0,0.103019478,125074
2740,70.0,0.103364832,125532
2750,70.0,0.103728155,125996
2760,70.0,0.104089364,126446
2770,69.0,0.104452955,126908
2780,72.0,0.104872424,127348
2790,71.0,0.105256845,127809
2800,72.0,0.105655008,128253
2810,72.0,0.106054393,128719
2820,72.0,0.106444063,129175
2830,71.0,0.106819045,129631
2840,69.0,0.107201484,130096
2850,70.0,0.107575579,130553
2860,70.0,0.10793105,130989
2870,70.0,0.108303612,131434
2880,70.0,0.10863557,131882
2890,71.0,0.108952215,132321
2900,71.0,0.109274168,132774
2910,70.0,0.109606784,133230
2920,71.0,0.109937291,133682
2930,71.0,0.11026613,134155
2940,70.0,0.110591101,134607
2950,71.0,0.110908458,135051
2960,71.0,0.111215501,135522
2970,70.0,0.111561989,135965
2980,72.0,0.11188343,136428
2990,69.0,0.112288744,136864
3000,69.0,0.112716925,137329
3010,69.0,0.113059104,137778
3020,69.0,0.1133836,138238
3030,69.0,0.113722727,138699
3040,70.0,0.114100106,139162
3050,69.0,0.114472331,139619
3060,69.0,0.114830144,140063
3070,70.0,0.115206869,140515
3080,71.0,0.115573989,140963
3090,70.0,0.115966365,141426
3100,68.0,0.116297505,141878
3110,68.0,0.116633292,142340
3120,69.0,0.116949698,142790
3130,69.0,0.117281737,143244
3140,67.0,0.117608061,143694
3150,67.0,0.117941775,144150
3160,68.0,0.118259686,144601
3170,68.0,0.118578734,145056
3180,68.0,0.118909298,145503
3190,68.0,0.119227976,145939
3200,68.0,0.119565396,146390
3210,68.0,0.119898169,146854
3220,68.0,0.120216666,147307
3230,68.0,0.120531441,147761
3240,68.0,0.120852159,148210
3250,67.0,0.121178827,148658
3260,67.0,0.121498147,149116
3270,67.0,0.121813332,149578
3280,67.0,0.122124279,150040
3290,68.0,0.122494096,150489
3300,68.0,0.122819545,150942
3310,69.0,0.123174943,151409
3320,67.0,0.1234869,151857
3330,67.0,0.123891475,152312
3340,68.0,0.124221147,152773
3350,68.0,0.12454571,153217
3360,68.0,0.12498323,153671
3370,67.0,0.125978139,154143
3380,67.0,0.126344781,154603
3390,68.0,0.126686786,155060
3400,66.0,0.127020346,155504
3410,67.0,0.127359735,155961
3420,66.0,0.127693089,156418
3430,68.0,0.128029845,156865
3440,68.0,0.128367142,157332
3450,67.0,0.128712814,157786
3460,67.0,0.129049671,158252
3470,68.0,0.129392799,158711
3480,67.0,0.129718126,159179
3490,67.0,0.130066148,159624
3500,68.0,0.130388271,160081
3510,66.0,0.130712204,160527
3520,66.0,0.131086292,160977
3530,66.0,0.131457358,161429
3540,67.0,0.131837631,161891
3550,66.0,0.132172862,162337
3560,66.0,0.132516914,162789
3570,67.0,0.132861109,163260
3580,67.0,0.133192809,163704
3590,67.0,0.133525389,164158
3600,66.0,0.133865516,164612
3610,66.0,0.134198983,165057
3620,67.0,0.134552361,165523
3630,67.0,0.134882927,165979
3640,68.0,0.135218913,166429
3650,68.0,0.135583843,166882
3660,68.0,0.135932693,167331
3670,68.0,0.136283465,167777
3680,67.0,0.1366459,168232
3690,67.0,0.137008047,168701
3700,67.0,0.137378974,169157
3710,67.0,0.137710402,169608
3720,67.0,0.138033646,170079
3730,67.0,0.138348124,170541
3740,67.0,0.138662081,170983
3750,67.0,0.138986193,171449
3760,66.0,0.139302879,171908
3770,67.0,0.139630189,172366
3780,66.0,0.140029382,172822
3790,67.0,0.14042139,173288
3800,67.0,0.140786994,173746
3810,67.0,0.141143561,174210
3820,66.0,0.141504011,174656
3830,66.0,0.141867732,175105
3840,66.0,0.142230871,175563
3850,65.0,0.142597002,176016
3860,65.0,0.142962703,176473
3870,66.0,0.143340232,176929
3880,66.0,0.143713533,177388
3890,65.0,0.144084325,177855
3900,67.0,0.144440826,178294
3910,67.0,0.144800055,178748
3920,67.0,0.145161221,179200
3930,67.0,0.145531228,179663
3940,67.0,0.145909087,180119
3950,67.0,0.146264939,180575
3960,68.0,0.146618386,181035
3970,66.0,0.146971742,181484
3980,67.0,0.147377958,181939
3990,67.0,0.147707928,182393
4000,67.0,0.14807454,182849
4010,68.0,0.148395009,183293
4020,67.0,0.148718113,183744
4030,66.0,0.149040427,184203
4040,66.0,0.149365301,184658
4050,66.0,0.149694535,185113
4060,66.0,0.150009966,185576
4070,66.0,0.150327956,186031
4080,66.0,0.150657581,186482
4090,65.0,0.150982768,186938
4100,66.0,0.151317072,187398
4110,66.0,0.151693777,187852
4120,65.0,0.152053219,188302
4130,65.0,0.152378535,188752
4140,66.0,0.152696113,189215
4150,66.0,0.153028962,189682
4160,66.0,0.15391508,190157
4170,65.0,0.154322028,190614
4180,67.0,0.154709751,191075
4190,68.0,0.155111062,191530
4200,67.0,0.155492849,191997
4210,67.0,0.155948796,192452
4220,68.0,0.156295343,192901
4230,68.0,0.156637456,193355
4240,68.0,0.156963014,193807
4250,68.0,0.157279261,194265
4260,69.0,0.157574686,194692
4270,67.0,0.157888683,195153
4280,67.0,0.158193461,195617
4290,67.0,0.15850262,196070
4300,67.0,0.158818325,196524
4310,68.0,0.159133435,196980
4320,67.0,0.159459342,197449
4330,67.0,0.159792406,197905
4340,67.0,0.160131173,198365
4350,66.0,0.16046579,198818
4360,66.0,0.16079509,199273
4370,65.0,0.161130764,199729
4380,67.0,0.161456472,200196
4390,66.0,0.161813211,200642
4400,66.0,0.162141368,201093
4410,67.0,0.162470572,201541
4420,67.0,0.162794801,201986
4430,68.0,0.163139363,202449
4440,68.0,0.163467812,202902
4450,68.0,0.163861089,203374
4460,68.0,0.164199429,203823
4470,69.0,0.164531998,204282
4480,68.0,0.164858953,204741
4490,69.0,0.165170775,205186
4500,69.0,0.165500168,205643
4510,69.0,0.165826139,206087
4520,68.0,0.16614905,206537
4530,68.0,0.166476233,206987
4540,68.0,0.166806349,207442
4550,68.0,0.167145268,207904
4560,68.0,0.167470023,208344
4570,68.0,0.167784453,208796
4580,68.0,0.168114417,209248
4590,69.0,0.168437161,209709
4600,69.0,0.168764851,210171
4610,67.0,0.169092322,210619
4620,67.0,0.169422857,211092
4630,66.0,0.169728926,211541
4640,67.0,0.170040075,211985
4650,67.0,0.170356452,212444
4660,68.0,0.170668361,212905
4670,67.0,0.170994912,213355
4680,67.0,0.171371498,213809
4690,68.0,0.171694273,214269
4700,67.0,0.172023383,214726
4710,67.0,0.172336819,215178
4720,68.0,0.172667552,215626
4730,68.0,0.172999586,216102
4740,69.0,0.173328465,216561
4750,69.0,0.17364931,217012
4760,70.0,0.173966791,217446
4770,69.0,0.174288519,217908
4780,69.0,0.176540072,218366
4790,69.0,0.176900938,218827
4800,69.0,0.177254659,219279
4810,68.0,0.177607503,219743
4820,69.0,0.177955173,220196
4830,68.0,0.178305333,220653
4840,68.0,0.178667976,221110
4850,69.0,0.179035371,221562
4860,69.0,0.179421131,222004
4870,69.0,0.179878355,222453
4880,69.0,0.180205599,222912
4890,69.0,0.180522947,223361
4900,68.0,0.180856218,223819
4910,68.0,0.181197554,224282
4920,67.0,0.181620368,224730
4930,67.0,0.181995059,225188
4940,69.0,0.18234997,225645
4950,70.0,0.182730156,226107
4960,70.0,0.183107416,226559
4970,72.0,0.183479467,227013
4980,71.0,0.183847419,227454
4990,71.0,0.184212753,227912
5000,71.0,0.184573383,228361
